title,year,rating
Jeremiah Johnson,1972,3.9
The Ruling Class,1972,3.9
"Play It Again, Sam",1972,3.9
The Harder They Come,1972,3.9
Roma,1972,3.9
Cabaret,1972,3.8
"Fratello sole, sorella luna",1972,3.8
1776,1972,3.8
Snoopy Come Home,1972,3.7
Greaser's Palace,1972,3.7
The Other,1972,3.7
Pink Flamingos,1972,3.6
Ultimo tango a Parigi,1972,3.6
Deliverance,1972,3.6
Frenzy,1972,3.6
Avanti!,1972,3.6
Silent Running,1972,3.5
Super Fly,1972,3.5
The Mechanic,1972,3.5
I racconti di Canterbury,1972,3.5
The Life and Times of Judge Roy Bean,1972,3.4
Junior Bonner,1972,3.4
The Hot Rock,1972,3.4
Siddhartha,1972,3.3
The Poseidon Adventure,1972,3.3
Prime Cut,1972,3.3
The King of Marvin Gardens,1972,3.3
Fritz the Cat,1972,3.3
Joe Kidd,1972,3.2
Gli orrori del castello di Norimberga,1972,3.1
Conquest of the Planet of the Apes,1972,3.0
Boxcar Bertha,1972,2.9
Up the Sandbox,1972,2.9
The Thing with Two Heads,1972,2.8
Blacula,1972,2.8
Scener ur ett äktenskap,1973,4.4
The Holy Mountain,1973,4.3
Amarcord,1973,4.2
The Sting,1973,4.1
Vérités et mensonges,1973,4.1
La nuit américaine,1973,4.1
La grande bouffe,1973,4.0
La planète sauvage,1973,4.0
The Long Goodbye,1973,4.0
Paper Moon,1973,4.0
The Last Detail,1973,3.9
The Day of the Jackal,1973,3.9
Mean Streets,1973,3.8
Pat Garrett & Billy the Kid,1973,3.8
The Iceman Cometh,1973,3.8
Don't Look Now,1973,3.8
Emperor of the North Pole,1973,3.8
Serpico,1973,3.8
The Last of Sheila,1973,3.8
The Way We Were,1973,3.7
High Plains Drifter,1973,3.7
Sleeper,1973,3.7
The Exorcist,1973,3.7
Coffy,1973,3.7
Scarecrow,1973,3.7
The Wicker Man,1973,3.6
American Graffiti,1973,3.6
The Wicker Man,1973,3.6
Ziggy Stardust and the Spiders from Mars,1973,3.6
Theater of Blood,1973,3.6
Soylent Green,1973,3.5
The Paper Chase,1973,3.5
Westworld,1973,3.5
Save the Tiger,1973,3.5
Jesus Christ Superstar,1973,3.4
Bang the Drum Slowly,1973,3.4
The Legend of Hell House,1973,3.3
Live and Let Die,1973,3.3
The Day of the Dolphin,1973,3.1
The Laughing Policeman,1973,3.1
Shamus,1973,3.0
A Touch of Class,1973,3.0
Detroit 9000,1973,2.9
Battle for the Planet of the Apes,1973,2.9
A Woman Under the Influence,1974,4.3
The Godfather: Part II,1974,4.3
Chinatown,1974,4.2
Angst essen Seele auf,1974,4.1
Le fantôme de la liberté,1974,4.1
Female Trouble,1974,4.0
The Conversation,1974,4.0
The Taking of Pelham One Two Three,1974,3.9
Bring Me the Head of Alfredo Garcia,1974,3.9
Phantom of the Paradise,1974,3.9
Blazing Saddles,1974,3.9
The Yakuza,1974,3.8
California Split,1974,3.8
Young Frankenstein,1974,3.8
The Parallax View,1974,3.7
Lancelot du Lac,1974,3.7
That's Entertainment!,1974,3.7
Travolti da un insolito destino nell'azzurro mare d'agosto,1974,3.7
Il portiere di notte,1974,3.6
The Front Page,1974,3.6
The Front Page,1974,3.6
Murder on the Orient Express,1974,3.5
Thunderbolt and Lightfoot,1974,3.5
Thriller - en grym film,1974,3.5
Dark Star,1974,3.4
Foxy Brown,1974,3.4
The Four Musketeers,1974,3.4
Dirty Mary Crazy Larry,1974,3.4
The Texas Chain Saw Massacre,1974,3.4
Blood for Dracula,1974,3.4
The Odessa File,1974,3.4
The Man with the Golden Gun,1974,3.3
The Towering Inferno,1974,3.3
The Sugarland Express,1974,3.3
Death Wish,1974,3.3
Death Wish,1974,3.3
The Great Gatsby,1974,3.2
The Lord's of Flatbush,1974,3.1
Zardoz,1974,3.1
Zardoz,1974,3.1
Airport 1975,1974,2.9
Caged Heat,1974,2.9
Zerkalo,1975,4.4
Dersu Uzala,1975,4.3
One Flew Over the Cuckoo's Nest,1975,4.2
Monty Python and the Holy Grail,1975,4.1
Barry Lyndon,1975,4.1
Nashville,1975,4.1
Grey Gardens,1975,4.1
Picnic at Hanging Rock,1975,4.0
The Man in the Glass Booth,1975,4.0
Dog Day Afternoon,1975,4.0
Professione: reporter,1975,4.0
Pasqualino Settebellezze,1975,4.0
Love and Death,1975,4.0
The Man Who Would Be King,1975,4.0
Du bi quan wang da po xue di zi,1975,3.9
Die verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann,1975,3.9
Three Days of the Condor,1975,3.8
Trollflöjten,1975,3.8
Salò o le 120 giornate di Sodoma,1975,3.6
The Rocky Horror Picture Show,1975,3.6
The Day of the Locust,1975,3.6
The Day of the Locust,1975,3.6
The Jezebels,1975,3.5
Jaws,1975,3.5
Jaws,1975,3.5
Shivers,1975,3.4
A Boy and His Dog,1975,3.4
Tommy,1975,3.4
The Drowning Pool,1975,3.3
Rollerball,1975,3.2
The Apple Dumpling Gang,1975,3.2
Bite the Bullet,1975,3.2
The Great Waldo Pepper,1975,3.2
Funny Lady,1975,3.2
Rollerball,1975,3.2
Shampoo,1975,3.2
Brannigan,1975,3.1
Escape to Witch Mountain,1975,3.1
The Hindenburg,1975,3.0
The Killer Elite,1975,3.0
Rancho Deluxe,1975,3.0
Ilsa: She Wolf of the SS,1975,3.0
Keetje Tippel,1975,2.9
Harlan County U.S.A.,1976,4.2
Network,1976,4.1
Taxi Driver,1976,4.1
Novecento,1976,4.1
Taxi Driver,1976,4.1
L'argent de poche,1976,4.0
Le locataire,1976,4.0
Ansikte mot ansikte,1976,4.0
Murder by Death,1976,3.9
The Shootist,1976,3.9
Eraserhead,1976,3.9
The Killing of a Chinese Bookie,1976,3.9
All the President's Men,1976,3.9
Allegro non troppo,1976,3.8
Herz aus Glas,1976,3.7
Bound for Glory,1976,3.6
Marathon Man,1976,3.6
The Man Who Fell to Earth,1976,3.6
Midway,1976,3.6
Ai no korîda,1976,3.5
The Omen,1976,3.5
Bugsy Malone,1976,3.5
The Omen,1976,3.5
Silver Streak,1976,3.4
The Enforcer,1976,3.4
Silent Movie,1976,3.4
The Pink Panther Strikes Again,1976,3.4
The Enforcer,1976,3.4
Harry and Walter Go to New York,1976,3.3
Logan's Run,1976,3.3
Carrie,1976,3.3
The Missouri Breaks,1976,3.3
God Told Me To,1976,3.3
Family Plot,1976,3.3
The Bad News Bears,1976,3.3
Carrie,1976,3.3
Obsession,1976,3.3
The Return of a Man Called Horse,1976,3.2
The Last Tycoon,1976,3.2
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,3.2
The Shaggy D.A.,1976,3.2
Car Wash,1976,3.2
Rocky,1976,3.2
Burnt Offerings,1976,3.1
To the Devil a Daughter,1976,3.1
Lipstick,1976,3.0
At the Earth's Core,1976,2.9
Stay Hungry,1976,2.9
The Food of the Gods,1976,2.8
Stroszek,1977,4.3
Star Wars,1977,4.1
Cet obscur objet du désir,1977,4.1
Opening Night,1977,4.1
3 Women,1977,3.9
Annie Hall,1977,3.9
Suspiria,1977,3.9
L'homme qui aimait les femmes,1977,3.9
Sorcerer,1977,3.8
The Goodbye Girl,1977,3.8
Der amerikanische Freund,1977,3.8
The Last Wave,1977,3.7
The Many Adventures of Winnie the Pooh,1977,3.6
Close Encounters of the Third Kind,1977,3.6
The Kentucky Fried Movie,1977,3.5
High Anxiety,1977,3.4
The Spy Who Loved Me,1977,3.4
Smokey and the Bandit,1977,3.4
The Serpent's Egg,1977,3.3
I Never Promised You a Rose Garden,1977,3.3
The Rescuers,1977,3.2
The Gauntlet,1977,3.2
Saturday Night Fever,1977,3.1
Pete's Dragon,1977,3.1
Rabid,1977,3.1
Semi-Tough,1977,3.0
Empire of the Ants,1977,2.7
The Last Waltz,1978,4.3
Days of Heaven,1978,4.2
Höstsonaten,1978,4.1
The Deer Hunter,1978,4.1
The Deer Hunter,1978,4.1
Grease,1978,3.7
Animal House,1978,3.7
Animal House,1978,3.7
Coming Home,1978,3.7
Grease,1978,3.7
La cage aux folles,1978,3.7
Convoy,1978,3.6
Up in Smoke,1978,3.6
Watership Down,1978,3.6
Ice Castles,1978,3.5
The Boys from Brazil,1978,3.5
Superman,1978,3.5
I Wanna Hold Your Hand,1978,3.5
Foul Play,1978,3.4
Force 10 from Navarone,1978,3.3
Magic,1978,3.2
Coma,1978,3.2
California Suite,1978,3.1
Eyes of Laura Mars,1978,3.1
Sgt. Pepper's Lonely Hearts Club Band,1978,2.9
Stalker,1979,4.5
Apocalypse Now,1979,4.1
Being There,1979,4.1
Die Ehe der Maria Braun,1979,4.1
Manhattan,1979,4.1
Die Blechtrommel,1979,4.0
Amator,1979,4.0
Rupan sansei: Kariosutoro no shiro,1979,4.0
Life of Brian,1979,3.9
All That Jazz,1979,3.9
Breaking Away,1979,3.9
Woyzeck,1979,3.8
A Little Romance,1979,3.8
Kramer vs. Kramer,1979,3.7
Nosferatu: Phantom der Nacht,1979,3.7
Escape from Alcatraz,1979,3.6
The Great Santini,1979,3.6
Tess,1979,3.6
The Jerk,1979,3.6
The China Syndrome,1979,3.6
Time After Time,1979,3.5
Norma Rae,1979,3.5
The Brood,1979,3.5
Rock 'n' Roll High School,1979,3.5
...And Justice for All.,1979,3.5
The Muppet Movie,1979,3.5
Return of the Secaucus Seven,1979,3.5
Hardcore,1979,3.4
Phantasm,1979,3.4
Rocky II,1979,3.4
North Dallas Forty,1979,3.4
Mad Max,1979,3.4
Winter Kills,1979,3.3
The Frisco Kid,1979,3.3
The Black Stallion,1979,3.2
Star Trek: The Motion Picture,1979,3.1
The Electric Horseman,1979,3.1
Roller Boogie,1979,3.0
Moonraker,1979,3.0
The Black Hole,1979,3.0
The Main Event,1979,3.0
1941,1979,3.0
Meatballs,1979,3.0
Caligola,1979,2.8
Beyond the Poseidon Adventure,1979,2.7
The Concorde... Airport '79,1979,2.5
Kagemusha,1980,4.2
Kagemusha,1980,4.2
The Long Good Friday,1980,4.1
Star Wars: Episode V - The Empire Strikes Back,1980,4.1
Raging Bull,1980,4.1
The Shining,1980,4.0
Somewhere in Time,1980,3.9
Honeysuckle Rose,1980,3.9
Mon oncle d'Amérique,1980,3.9
Le dernier métro,1980,3.9
The Elephant Man,1980,3.9
Out of the Blue,1980,3.9
Ordinary People,1980,3.8
Stardust Memories,1980,3.8
Bad Timing,1980,3.7
The Idolmaker,1980,3.7
The Blues Brothers,1980,3.7
La città delle donne,1980,3.7
Midnight Madness,1980,3.6
Hopscotch,1980,3.6
Caddyshack,1980,3.6
Where the Buffalo Roam,1980,3.6
Times Square,1980,3.6
Coal Miner's Daughter,1980,3.6
Airplane!,1980,3.6
The Big Red One,1980,3.6
The Long Riders,1980,3.5
The Competition,1980,3.5
The Gods Must Be Crazy,1980,3.5
Brubaker,1980,3.5
The Jazz Singer,1980,3.4
Stir Crazy,1980,3.4
My Bodyguard,1980,3.4
The Jazz Singer,1980,3.4
Little Darlings,1980,3.4
Melvin and Howard,1980,3.4
Altered States,1980,3.4
The Final Countdown,1980,3.4
Used Cars,1980,3.3
Fade to Black,1980,3.3
Seems Like Old Times,1980,3.3
Carny,1980,3.3
Foxes,1980,3.3
Friday the 13th,1980,3.2
Up the Academy,1980,3.2
Fame,1980,3.2
Superman II,1980,3.2
The Hunter,1980,3.2
Cruising,1980,3.2
Roadie,1980,3.2
Poliziotto superpiù,1980,3.2
Nine to Five,1980,3.2
Heaven's Gate,1980,3.1
Any Which Way You Can,1980,3.1
American Gigolo,1980,3.1
Flash Gordon,1980,3.1
Flash Gordon,1980,3.1
Motel Hell,1980,3.1
The First Deadly Sin,1980,3.0
Private Benjamin,1980,3.0
Raise the Titanic,1980,3.0
The Nude Bomb,1980,3.0
Xanadu,1980,3.0
The Fiendish Plot of Dr. Fu Manchu,1980,3.0
Terror Train,1980,2.9
Herbie Goes Bananas,1980,2.9
The Last Flight of Noah's Ark,1980,2.9
Smokey and the Bandit II,1980,2.8
Oh Heavenly Dog,1980,2.8
"Oh, God! Book II",1980,2.8
The Blue Lagoon,1980,2.8
Can't Stop the Music,1980,2.7
Popeye,1980,2.6
Das Boot,1981,4.1
Diva,1981,4.0
My Dinner with Andre,1981,4.0
Christiane F. - Wir Kinder vom Bahnhof Zoo,1981,3.9
Lola,1981,3.9
Mephisto,1981,3.9
Lola,1981,3.9
Prince of the City,1981,3.9
E tu vivrai nel terrore - L'aldilà,1981,3.9
La femme d'à côté,1981,3.8
Lili Marleen,1981,3.8
The Chosen,1981,3.8
Coup de torchon,1981,3.8
On Golden Pond,1981,3.7
New York Beat Movie,1981,3.7
Gregory's Girl,1981,3.7
Blow Out,1981,3.6
Gallipoli,1981,3.6
Four Friends,1981,3.6
The Evil Dead,1981,3.6
Montenegro,1981,3.6
Chariots of Fire,1981,3.6
Mommie Dearest,1981,3.6
Modern Romance,1981,3.6
La femme de l'aviateur,1981,3.6
The French Lieutenant's Woman,1981,3.5
Mad Max 2,1981,3.5
La guerre du feu,1981,3.5
Beau-père,1981,3.5
Body Heat,1981,3.5
Ragtime,1981,3.5
Southern Comfort,1981,3.5
Victory,1981,3.5
Time Bandits,1981,3.5
Death Hunt,1981,3.5
Excalibur,1981,3.4
Eye of the Needle,1981,3.4
An American Werewolf in London,1981,3.4
Escape from New York,1981,3.4
Clash of the Titans,1981,3.4
The Fox and the Hound,1981,3.4
Taps,1981,3.4
Raggedy Man,1981,3.3
The Postman Always Rings Twice,1981,3.3
Pennies from Heaven,1981,3.3
Halloween II,1981,3.3
The Great Muppet Caper,1981,3.3
The Postman Always Rings Twice,1981,3.3
Heavy Metal,1981,3.3
True Confessions,1981,3.3
Absence of Malice,1981,3.3
For Your Eyes Only,1981,3.3
The Howling,1981,3.2
Scanners,1981,3.2
Dragonslayer,1981,3.2
Fort Apache the Bronx,1981,3.2
"Zorro, the Gay Blade",1981,3.2
Looker,1981,3.2
Only When I Laugh,1981,3.1
The Cannonball Run,1981,3.1
Friday the 13th Part 2,1981,3.1
Under the Rainbow,1981,3.1
The Cannonball Run,1981,3.1
Nighthawks,1981,3.1
The Incredible Shrinking Woman,1981,3.0
Hell Night,1981,3.0
Caveman,1981,3.0
Wolfen,1981,3.0
Continental Divide,1981,3.0
Rich and Famous,1981,3.0
Sharky's Machine,1981,3.0
Condorman,1981,2.9
So Fine,1981,2.9
Private Lessons,1981,2.9
Piranha Part Two: The Spawning,1981,2.0
Fanny och Alexander,1982,4.4
Fitzcarraldo,1982,4.3
Koyaanisqatsi,1982,4.3
Burden of Dreams,1982,4.1
Die Sehnsucht der Veronika Voss,1982,4.1
The Draughtsman's Contract,1982,3.9
La nuit de Varennes,1982,3.9
Sophie's Choice,1982,3.9
Gandhi,1982,3.9
Frances,1982,3.8
The Verdict,1982,3.8
La notte di San Lorenzo,1982,3.8
The King of Comedy,1982,3.8
Querelle,1982,3.7
Victor Victoria,1982,3.7
The Man from Snowy River,1982,3.7
Star Trek: The Wrath of Khan,1982,3.7
Shoot the Moon,1982,3.7
Richard Pryor Live on the Sunset Strip,1982,3.7
Diner,1982,3.6
The Dark Crystal,1982,3.6
Liquid Sky,1982,3.5
E.T.: The Extra-Terrestrial,1982,3.5
The World According to Garp,1982,3.5
An Officer and a Gentleman,1982,3.5
First Blood,1982,3.5
The Secret of NIMH,1982,3.5
Cannery Row,1982,3.5
The Grey Fox,1982,3.5
Tex,1982,3.5
Passion,1982,3.5
Deathtrap,1982,3.5
The Year of Living Dangerously,1982,3.5
Fast Times at Ridgemont High,1982,3.5
Making Love,1982,3.4
Poltergeist,1982,3.4
Tootsie,1982,3.4
Evil Under the Sun,1982,3.4
Eating Raoul,1982,3.4
One from the Heart,1982,3.4
The Last American Virgin,1982,3.3
Personal Best,1982,3.3
Creepshow,1982,3.3
A Midsummer Night's Sex Comedy,1982,3.3
Rocky III,1982,3.3
TRON,1982,3.3
The Last American Virgin,1982,3.3
48 Hrs.,1982,3.2
Class of 1984,1982,3.2
The Best Little Whorehouse in Texas,1982,3.2
Night Shift,1982,3.2
Honkytonk Man,1982,3.2
48 Hrs.,1982,3.2
Summer Lovers,1982,3.1
Annie,1982,3.1
Porky's,1982,3.1
Conan the Barbarian,1982,3.1
Five Days One Summer,1982,3.0
Cat People,1982,3.0
Wrong Is Right,1982,3.0
Cat People,1982,3.0
Amityville II: The Possession,1982,2.9
Airplane II: The Sequel,1982,2.9
Firefox,1982,2.9
Zapped!,1982,2.8
Young Doctors in Love,1982,2.7
Swamp Thing,1982,2.7
Halloween III: Season of the Witch,1982,2.2
Monsignor,1982,2.1
Narayama-bushi kô,1983,4.3
Sans soleil,1983,4.3
Scarface,1983,4.1
Local Hero,1983,4.1
Scarface,1983,4.1
Scarface,1983,4.1
L'argent,1983,4.0
Star Wars: Episode VI - Return of the Jedi,1983,4.0
The Right Stuff,1983,3.9
Merry Christmas Mr. Lawrence,1983,3.9
The Dresser,1983,3.8
Danton,1983,3.8
Pauline à la plage,1983,3.8
Terms of Endearment,1983,3.7
Valley Girl,1983,3.7
Silkwood,1983,3.7
Testament,1983,3.7
Never Cry Wolf,1983,3.7
A Christmas Story,1983,3.7
Richard Pryor... Here and Now,1983,3.7
Educating Rita,1983,3.6
The Big Chill,1983,3.6
Rumble Fish,1983,3.6
Videodrome,1983,3.6
The Outsiders,1983,3.6
The Black Stallion Returns,1983,3.5
Vacation,1983,3.5
Trading Places,1983,3.5
Heat and Dust,1983,3.5
Eddie and the Cruisers,1983,3.5
Yentl,1983,3.4
Something Wicked This Way Comes,1983,3.4
Uncommon Valor,1983,3.4
Lone Wolf McQuade,1983,3.4
Cross Creek,1983,3.4
The Adventures of Bob & Doug McKenzie: Strange Brew,1983,3.4
WarGames,1983,3.3
Gorky Park,1983,3.3
Yellowbeard,1983,3.3
Star 80,1983,3.3
Max Dugan Returns,1983,3.3
Christine,1983,3.2
Twilight Zone: The Movie,1983,3.2
Flashdance,1983,3.2
Streamers,1983,3.2
Sudden Impact,1983,3.2
Risky Business,1983,3.2
Easy Money,1983,3.1
Never Say Never Again,1983,3.1
Brainstorm,1983,3.1
Octopussy,1983,3.1
Never Say Never Again,1983,3.1
The Star Chamber,1983,3.0
The Osterman Weekend,1983,3.0
Class,1983,3.0
The Man with Two Brains,1983,3.0
Mr. Mom,1983,3.0
Two of a Kind,1983,2.9
All the Right Moves,1983,2.9
Losin' It,1983,2.7
Superman III,1983,2.7
Amityville 3-D,1983,2.7
Jaws 3-D,1983,2.5
Stop Making Sense,1984,4.4
The Times of Harvey Milk,1984,4.2
"Paris, Texas",1984,4.2
Once Upon a Time in America,1984,4.2
The Killing Fields,1984,4.0
Stranger Than Paradise,1984,4.0
Amadeus,1984,3.9
This Is Spinal Tap,1984,3.9
This Is Spinal Tap,1984,3.9
Blood Simple.,1984,3.9
This Is Spinal Tap,1984,3.9
Birdy,1984,3.8
¿Qué he hecho yo para merecer esto!!,1984,3.8
A Soldier's Story,1984,3.7
Sixteen Candles,1984,3.7
The Natural,1984,3.7
Broadway Danny Rose,1984,3.7
The Razor's Edge,1984,3.7
Places in the Heart,1984,3.7
The Razor's Edge,1984,3.7
Efter repetitionen,1984,3.7
Indiana Jones and the Temple of Doom,1984,3.7
Electric Dreams,1984,3.6
A Passage to India,1984,3.6
Under the Volcano,1984,3.6
Ghost Busters,1984,3.6
Secret Honor,1984,3.6
The Company of Wolves,1984,3.5
A Nightmare on Elm Street,1984,3.5
Until September,1984,3.5
Nineteen Eighty-Four,1984,3.5
The Pope of Greenwich Village,1984,3.5
Un dimanche à la campagne,1984,3.5
Streets of Fire,1984,3.5
Falling in Love,1984,3.5
The Brother from Another Planet,1984,3.5
Nineteen Eighty-Four,1984,3.5
Repo Man,1984,3.4
Dune,1984,3.4
Dune,1984,3.4
Top Secret!,1984,3.4
Beverly Hills Cop,1984,3.4
Gremlins,1984,3.4
Breakin' 2: Electric Boogaloo,1984,3.4
The Bounty,1984,3.4
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,3.4
The Karate Kid,1984,3.3
The Karate Kid,1984,3.3
The Muppets Take Manhattan,1984,3.3
Star Trek III: The Search for Spock,1984,3.3
Racing with the Moon,1984,3.3
Night of the Comet,1984,3.3
The Karate Kid,1984,3.3
Footloose,1984,3.3
The Last Starfighter,1984,3.3
Purple Rain,1984,3.3
Starman,1984,3.2
Crimes of Passion,1984,3.2
2010,1984,3.2
Un amour de Swann,1984,3.2
The Cotton Club,1984,3.2
Johnny Dangerously,1984,3.2
Body Double,1984,3.2
Romancing the Stone,1984,3.2
The Toxic Avenger,1984,3.1
Tightrope,1984,3.1
Mrs. Soffel,1984,3.1
The Lonely Guy,1984,3.1
Dreamscape,1984,3.1
Firestarter,1984,3.1
Against All Odds,1984,3.0
Bachelor Party,1984,3.0
Splash,1984,3.0
Moscow on the Hudson,1984,3.0
Swing Shift,1984,2.9
Micki + Maude,1984,2.9
The Bostonians,1984,2.9
Give My Regards to Broad Street,1984,2.8
Blame It on Rio,1984,2.8
City Heat,1984,2.8
The Flamingo Kid,1984,2.8
Cannonball Run II,1984,2.7
Rhinestone,1984,2.5
Best Defense,1984,2.4
Supergirl,1984,2.3
Shoah,1985,4.6
Idi i smotri,1985,4.5
Tampopo,1985,4.3
Ran,1985,4.3
Mishima: A Life in Four Chapters,1985,4.2
28 Up,1985,4.2
Brazil,1985,4.1
Mitt liv som hund,1985,4.1
Sans toit ni loi,1985,4.0
A Zed & Two Noughts,1985,4.0
The Trip to Bountiful,1985,4.0
Bez konca,1985,3.9
A Room with a View,1985,3.9
The Last Dragon,1985,3.9
The Breakfast Club,1985,3.9
La historia oficial,1985,3.9
The Color Purple,1985,3.9
After Hours,1985,3.8
Back to the Future,1985,3.8
The Goonies,1985,3.8
Back to the Future,1985,3.8
Sweet Dreams,1985,3.7
My Beautiful Laundrette,1985,3.7
Out of Africa,1985,3.7
Better Off Dead...,1985,3.7
Insignificance,1985,3.7
Desert Hearts,1985,3.7
Ging chat goo si,1985,3.7
Turtle Diary,1985,3.7
Pale Rider,1985,3.6
Clue,1985,3.6
Kiss of the Spider Woman,1985,3.6
Re-Animator,1985,3.6
To Live and Die in L.A.,1985,3.6
The Sure Thing,1985,3.5
The Journey of Natty Gann,1985,3.5
Tuff Turf,1985,3.5
Heaven Help Us,1985,3.5
Witness,1985,3.5
Real Genius,1985,3.5
Runaway Train,1985,3.5
Silverado,1985,3.5
Lost in America,1985,3.5
Legend,1985,3.5
Vision Quest,1985,3.5
Day of the Dead,1985,3.5
A Chorus Line,1985,3.4
One Magic Christmas,1985,3.4
Dance with a Stranger,1985,3.4
Murphy's Romance,1985,3.4
White Nights,1985,3.4
Sesame Street Presents: Follow that Bird,1985,3.4
Rocky IV,1985,3.4
Plenty,1985,3.4
The Falcon and the Snowman,1985,3.3
The Return of the Living Dead,1985,3.3
Fletch,1985,3.3
Enemy Mine,1985,3.3
Just One of the Guys,1985,3.3
Fright Night,1985,3.3
Prizzi's Honor,1985,3.3
Young Sherlock Holmes,1985,3.3
Agnes of God,1985,3.2
American Flyers,1985,3.2
Silver Bullet,1985,3.2
Jagged Edge,1985,3.2
Weird Science,1985,3.2
Defence of the Realm,1985,3.2
Santa Claus,1985,3.1
Mad Max Beyond Thunderdome,1985,3.1
The Stuff,1985,3.1
A View to a Kill,1985,3.1
Santa Claus,1985,3.1
Wetherby,1985,3.1
Smooth Talk,1985,3.1
Death Wish 3,1985,3.1
Cocoon,1985,3.1
Rambo: First Blood Part II,1985,3.1
Return to Oz,1985,3.1
Commando,1985,3.1
Cat's Eye,1985,3.1
The Black Cauldron,1985,3.1
The Jewel of the Nile,1985,3.0
Invasion U.S.A.,1985,3.0
Fool for Love,1985,3.0
Gotcha!,1985,3.0
Fraternity Vacation,1985,3.0
Pee-wee's Big Adventure,1985,3.0
Code of Silence,1985,3.0
Twice in a Lifetime,1985,3.0
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,3.0
The Coca-Cola Kid,1985,2.9
Baby: Secret of the Lost Legend,1985,2.8
Desperately Seeking Susan,1985,2.8
The Man with One Red Shoe,1985,2.8
The Slugger's Wife,1985,2.8
Howling II: Stirba - Werewolf Bitch,1985,2.5
Offret,1986,4.4
Down by Law,1986,4.3
Jean de Florette,1986,4.2
Manon des sources,1986,4.2
Tenkû no shiro Rapyuta,1986,4.1
37°2 le matin,1986,4.1
Le rayon vert,1986,4.1
'Round Midnight,1986,4.1
Blue Velvet,1986,4.0
Hannah and Her Sisters,1986,3.9
Platoon,1986,3.9
Aliens,1986,3.8
Labyrinth,1986,3.8
The Mission,1986,3.8
Tenue de soirée,1986,3.8
Thérèse,1986,3.8
Ferris Bueller's Day Off,1986,3.8
The Mission,1986,3.8
Le déclin de l'empire américain,1986,3.7
Hoosiers,1986,3.7
Matador,1986,3.7
Henry: Portrait of a Serial Killer,1986,3.6
Children of a Lesser God,1986,3.6
Belizaire the Cajun,1986,3.6
Der Name der Rose,1986,3.6
At Close Range,1986,3.5
Sid and Nancy,1986,3.5
Pretty in Pink,1986,3.5
Star Trek IV: The Voyage Home,1986,3.5
Heartbreak Ridge,1986,3.5
Highlander,1986,3.5
That's Life!,1986,3.5
Manhunter,1986,3.5
Violets Are Blue...,1986,3.4
Youngblood,1986,3.4
Native Son,1986,3.4
"Jo Jo Dancer, Your Life Is Calling",1986,3.4
Brighton Beach Memoirs,1986,3.4
She's Gotta Have It,1986,3.4
The Big Easy,1986,3.3
An American Tail,1986,3.3
The Fly,1986,3.3
One Crazy Summer,1986,3.3
Under the Cherry Moon,1986,3.3
Crimes of the Heart,1986,3.3
Lucas,1986,3.3
The Fly,1986,3.3
The Color of Money,1986,3.3
The Great Mouse Detective,1986,3.3
The Mosquito Coast,1986,3.2
Heartburn,1986,3.2
Short Circuit,1986,3.2
Band of the Hand,1986,3.2
The Boy Who Could Fly,1986,3.2
Short Circuit,1986,3.2
Something Wild,1986,3.2
¡Three Amigos!,1986,3.1
Ruthless People,1986,3.1
52 Pick-Up,1986,3.1
Wildcats,1986,3.1
Just Between Friends,1986,3.0
Sweet Liberty,1986,3.0
The Money Pit,1986,3.0
Gung Ho,1986,3.0
Crocodile Dundee,1986,3.0
The Manhattan Project,1986,3.0
Nobody's Fool,1986,3.0
Nobody's Fool,1986,3.0
Nine 1/2 Weeks,1986,3.0
The Golden Child,1986,2.9
Wanted: Dead or Alive,1986,2.9
The Clan of the Cave Bear,1986,2.9
Back to School,1986,2.9
Peggy Sue Got Married,1986,2.9
SpaceCamp,1986,2.9
The Morning After,1986,2.9
Tai-Pan,1986,2.9
The Best of Times,1986,2.9
The Texas Chainsaw Massacre 2,1986,2.9
Down and Out in Beverly Hills,1986,2.9
No Mercy,1986,2.8
Black Moon Rising,1986,2.8
Half Moon Street,1986,2.8
Jumpin' Jack Flash,1986,2.8
No Mercy,1986,2.8
Firewalker,1986,2.8
Police Academy 3: Back in Training,1986,2.8
Quicksilver,1986,2.8
Nothing in Common,1986,2.8
Legal Eagles,1986,2.8
Black Moon Rising,1986,2.8
Raw Deal,1986,2.7
King Kong Lives,1986,2.7
Raw Deal,1986,2.7
Critters,1986,2.7
Cobra,1986,2.7
Cobra,1986,2.7
Psycho III,1986,2.6
Soul Man,1986,2.6
Howard the Duck,1986,2.6
Der Himmel über Berlin,1987,4.4
Der Himmel über Berlin,1987,4.4
Withnail & I,1987,4.4
Babettes gæstebud,1987,4.2
Au revoir les enfants,1987,4.2
Housekeeping,1987,4.2
The Year My Voice Broke,1987,4.1
Swimming to Cambodia,1987,4.1
Full Metal Jacket,1987,4.0
The Princess Bride,1987,4.0
Out of Rosenheim,1987,4.0
Pelle erobreren,1987,3.9
Maurice,1987,3.9
Empire of the Sun,1987,3.9
Sammy and Rosie Get Laid,1987,3.8
The Untouchables,1987,3.8
House of Games,1987,3.8
